Variables~Valeurs~Etiquette
b~1~BELGIQUE
b~2~DANMARK
b~3~DEUTSCHLAND
b~4~ELLADA
b~5~ESPANA
b~6~SUOMI
b~7~FRANCE
b~8~IRELAND
b~9~ITALIA
b~10~LUXEMBOURG
b~11~NEDERLAND
b~12~ÖSTERREICH
b~13~PORTUGAL
b~14~SVERIGE
b~15~UK
b~31~BALGARIJA
b~32~KYPROS
b~33~CESKA REPUBLIKA
b~34~EESTI
b~35~MAGYARORSZAG
b~36~LATVIA
b~37~LIETUVA
b~38~MALTA
b~39~POLSKA
b~40~ROMANIA
b~41~SLOVENSKA REPUBLIC
b~42~SLOVENIJA
b~43~TURKIYE
b~45~ISLAND
b~46~HRVATSKA
ph1~1~Mobile phone line
ph1~2~Fixed telephone line
d8~1~No, never
d8~2~Yes, once or a few times
d8~3~Yes, occasionally (i.e. once every few months)
d8~4~Yes, regularly (i.e. once a month or more often)
d8~5~DK/NA (DO NOT READ OUT)
d8RGPS~1~Total 'Yes'
d9~1~No, never
d9~2~Yes, once or a few times
d9~3~Yes, occasionally (i.e. once every few months)
d9~4~Yes, regularly (i.e. once a month or more often)
d9~5~DK/NA (DO NOT READ OUT)
d9RGPS~1~Total 'Yes'
d8d9~1~Only user
d8d9~2~Only provider
d8d9~3~User and provider
d8d9~4~Not user nor provider
q1.1~0~no  You don't know what collaborative platforms are
q1.1~1~You don't know what collaborative platforms are
q1.2~0~no  Poor Internet access
q1.2~1~Poor Internet access
q1.3~0~no  Lack of technical knowledge about how to use colla
q1.3~1~Lack of technical knowledge about how to use colla
q1.4~0~no  Lack of trust in the services offered via collabor
q1.4~1~Lack of trust in the services offered via collabor
q1.5~0~no  Preference for services offered via traditional ch
q1.5~1~Preference for services offered via traditional ch
q1.6~0~no  Concerns about sharing personal data on the platfo
q1.6~1~Concerns about sharing personal data on the platfo
q1.7~0~no  Other (DO NOT READ OUT)
q1.7~1~Other (DO NOT READ OUT)
q1.8~0~no  DK/NA (DO NOT READ OUT)
q1.8~1~DK/NA (DO NOT READ OUT)
q2.1~0~no  Transport (e.g. car sharing)
q2.1~1~Transport (e.g. car sharing)
q2.2~0~no  Accommodation (e.g. renting an apartment)
q2.2~1~Accommodation (e.g. renting an apartment)
q2.3~0~no  Food-related services (e.g. home delivery, food sh
q2.3~1~Food-related services (e.g. home delivery, food sh
q2.4~0~no  Household services (e.g. gardening, repairs, child
q2.4~1~Household services (e.g. gardening, repairs, child
q2.5~0~no  Professional services (e.g. IT services, accounting)
q2.5~1~Professional services (e.g. IT services, accounting)
q2.6~0~no  Collaborative finance (e.g. peer-to-peer lending o
q2.6~1~Collaborative finance (e.g. peer-to-peer lending o
q2.7~0~no  Other (DO NOT READ OUT)
q2.7~1~Other (DO NOT READ OUT)
q2.8~0~no  DK/NA (DO NOT READ OUT)
q2.8~1~DK/NA (DO NOT READ OUT)
q3~1~You have to some extent replaced the services you
q3~2~You have completely replaced some types of service
q3~3~You use services offered via traditional channels
q3~4~You only started using the services when they beca
q3~5~None (DO NOT READ OUT)
q3~6~DK/NA (DO NOT READ OUT)
q3RGPS~1~Total Use of collaborative platforms replaces traditional ch
q3RGPS~2~Total Use of collaborative platforms on top of traditional c
q4.1~0~no  Cheaper or free services offered via collaborative
q4.1~1~Cheaper or free services offered via collaborative
q4.2~0~no  A wider choice of services unavailable via traditi
q4.2~1~A wider choice of services unavailable via traditi
q4.3~0~no  A more convenient access to services
q4.3~1~A more convenient access to services
q4.4~0~no  The availability of ratings and reviews by users
q4.4~1~The availability of ratings and reviews by users
q4.5~0~no  The opportunities they offer to interact with inte
q4.5~1~The opportunities they offer to interact with inte
q4.6~0~no  Possibility of exchanging services instead of payi
q4.6~1~Possibility of exchanging services instead of payi
q4.7~0~no  Other (DO NOT READ OUT)
