Variable~Position~Etiquette
flnum~1~Flash number
b~2~Country name
vc~3~Interview number
vcc~4~Interview number
ph1~5~PH1 - Type of phone line
d8~6~D8 Have you ever used a service offered via a collaborative platform?
d8RGPS~7~D8 Have you ever used a service offered via a collaborative platform?
d9~8~D9 Have you ever offered a service via a collaborative platform?
d9RGPS~9~D9 Have you ever offered a service via a collaborative platform?
d8d9~10~D8_D9 - User-provider profile
q1.1~11~Q1 For which of the following reasons have you never used a service offered via a collaborative platform?
q1.2~12~Q1 For which of the following reasons have you never used a service offered via a collaborative platform?
q1.3~13~Q1 For which of the following reasons have you never used a service offered via a collaborative platform?
q1.4~14~Q1 For which of the following reasons have you never used a service offered via a collaborative platform?
q1.5~15~Q1 For which of the following reasons have you never used a service offered via a collaborative platform?
q1.6~16~Q1 For which of the following reasons have you never used a service offered via a collaborative platform?
q1.7~17~Q1 For which of the following reasons have you never used a service offered via a collaborative platform?
q1.8~18~Q1 For which of the following reasons have you never used a service offered via a collaborative platform?
q2.1~19~Q2 In which of the following sectors have you used a service offered via a collaborative platform?
q2.2~20~Q2 In which of the following sectors have you used a service offered via a collaborative platform?
q2.3~21~Q2 In which of the following sectors have you used a service offered via a collaborative platform?
q2.4~22~Q2 In which of the following sectors have you used a service offered via a collaborative platform?
q2.5~23~Q2 In which of the following sectors have you used a service offered via a collaborative platform?
q2.6~24~Q2 In which of the following sectors have you used a service offered via a collaborative platform?
q2.7~25~Q2 In which of the following sectors have you used a service offered via a collaborative platform?
q2.8~26~Q2 In which of the following sectors have you used a service offered via a collaborative platform?
q3~27~Q3 Thinking about your overall experience with services offered via collaborative platforms in the last 12 months, which of the following statements best describes your experience?
q3RGPS~28~Q3 Thinking about your overall experience with services offered via collaborative platforms in the last 12 months, which of the following statements best describes your experience?
q4.1~29~Q4 In your personal experience, what are the advantages of using collaborative platforms compared with traditional channels, if any?
q4.2~30~Q4 In your personal experience, what are the advantages of using collaborative platforms compared with traditional channels, if any?
q4.3~31~Q4 In your personal experience, what are the advantages of using collaborative platforms compared with traditional channels, if any?
q4.4~32~Q4 In your personal experience, what are the advantages of using collaborative platforms compared with traditional channels, if any?
q4.5~33~Q4 In your personal experience, what are the advantages of using collaborative platforms compared with traditional channels, if any?
q4.6~34~Q4 In your personal experience, what are the advantages of using collaborative platforms compared with traditional channels, if any?
q4.7~35~Q4 In your personal experience, what are the advantages of using collaborative platforms compared with traditional channels, if any?
q4.8~36~Q4 In your personal experience, what are the advantages of using collaborative platforms compared with traditional channels, if any?
q4.9~37~Q4 In your personal experience, what are the advantages of using collaborative platforms compared with traditional channels, if any?
q5.1~38~Q5 In your personal experience, what are the disadvantages of using collaborative platforms compared with traditional channels, if any?
q5.2~39~Q5 In your personal experience, what are the disadvantages of using collaborative platforms compared with traditional channels, if any?
q5.3~40~Q5 In your personal experience, what are the disadvantages of using collaborative platforms compared with traditional channels, if any?
q5.4~41~Q5 In your personal experience, what are the disadvantages of using collaborative platforms compared with traditional channels, if any?
q5.5~42~Q5 In your personal experience, what are the disadvantages of using collaborative platforms compared with traditional channels, if any?
q5.6~43~Q5 In your personal experience, what are the disadvantages of using collaborative platforms compared with traditional channels, if any?
q5.7~44~Q5 In your personal experience, what are the disadvantages of using collaborative platforms compared with traditional channels, if any?
q5.8~45~Q5 In your personal experience, what are the disadvantages of using collaborative platforms compared with traditional channels, if any?
q5.9~46~Q5 In your personal experience, what are the disadvantages of using collaborative platforms compared with traditional channels, if any?
q6~47~Q6 Overall, would you recommend services offered via collaborative platforms or not?
q6RGPS~48~Q6 Overall, would you recommend services offered via collaborative platforms or not?
q7~49~Q7 Would you consider offering services occasionally as a private individual via collaborative platforms?
q8.1~50~Q8 For which of the following reasons have you never offered a service via a collaborative platform?
q8.2~51~Q8 For which of the following reasons have you never offered a service via a collaborative platform?
q8.3~52~Q8 For which of the following reasons have you never offered a service via a collaborative platform?
q8.4~53~Q8 For which of the following reasons have you never offered a service via a collaborative platform?
q8.5~54~Q8 For which of the following reasons have you never offered a service via a collaborative platform?
q8.6~55~Q8 For which of the following reasons have you never offered a service via a collaborative platform?
q8.7~56~Q8 For which of the following reasons have you never offered a service via a collaborative platform?
q8.8~57~Q8 For which of the following reasons have you never offered a service via a collaborative platform?
q8.9~58~Q8 For which of the following reasons have you never offered a service via a collaborative platform?
q8.10~59~Q8 For which of the following reasons have you never offered a service via a collaborative platform?
q9~60~Q9 Have you ever offered services occasionally as a private individual via traditional channels?
q9RGPS~61~Q9 Have you ever offered services occasionally as a private individual via traditional channels?
q10.1~62~Q10 In which of the following sectors have you provided a service via a collaborative platform?
q10.2~63~Q10 In which of the following sectors have you provided a service via a collaborative platform?
q10.3~64~Q10 In which of the following sectors have you provided a service via a collaborative platform?
q10.4~65~Q10 In which of the following sectors have you provided a service via a collaborative platform?
q10.5~66~Q10 In which of the following sectors have you provided a service via a collaborative platform?
q10.6~67~Q10 In which of the following sectors have you provided a service via a collaborative platform?
q10.7~68~Q10 In which of the following sectors have you provided a service via a collaborative platform?
q10.8~69~Q10 In which of the following sectors have you provided a service via a collaborative platform?
q10.9~70~Q10 In which of the following sectors have you provided a service via a collaborative platform?
q11.1~71~Q11 For which of the following reasons do you offer services via collaborative platforms?
q11.2~72~Q11 For which of the following reasons do you offer services via collaborative platforms?
q11.3~73~Q11 For which of the following reasons do you offer services via collaborative platforms?
q11.4~74~Q11 For which of the following reasons do you offer services via collaborative platforms?
q11.5~75~Q11 For which of the following reasons do you offer services via collaborative platforms?
q11.6~76~Q11 For which of the following reasons do you offer services via collaborative platforms?
q11.7~77~Q11 For which of the following reasons do you offer services via collaborative platforms?
q11.8~78~Q11 For which of the following reasons do you offer services via collaborative platforms?
q11.9~79~Q11 For which of the following reasons do you offer services via collaborative platforms?
q11.10~80~Q11 For which of the following reasons do you offer services via collaborative platforms?
q11.11~81~Q11 For which of the following reasons do you offer services via collaborative platforms?
q12.1~82~Q12 What are the main problems you encountered when providing services via a collaborative platform, if any?
q12.2~83~Q12 What are the main problems you encountered when providing services via a collaborative platform, if any?
q12.3~84~Q12 What are the main problems you encountered when providing services via a collaborative platform, if any?
q12.4~85~Q12 What are the main problems you encountered when providing services via a collaborative platform, if any?
q12.5~86~Q12 What are the main problems you encountered when providing services via a collaborative platform, if any?
q12.6~87~Q12 What are the main problems you encountered when providing services via a collaborative platform, if any?
q12.7~88~Q12 What are the main problems you encountered when providing services via a collaborative platform, if any?
q12.8~89~Q12 What are the main problems you encountered when providing services via a collaborative platform, if any?
vd1~90~D1_2 How old are you?
d1r1~91~D1_1 How old are you?
d1r2~92~D1_2 How old are you?
d2~93~D2 Gender.
d3a.1~94~D3a What is your nationality? Please tell me the country(ies) that applies(y).
d3a.2~95~D3a What is your nationality? Please tell me the country(ies) that applies(y).
d3a.3~96~D3a What is your nationality? Please tell me the country(ies) that applies(y).
d3a.4~97~D3a What is your nationality? Please tell me the country(ies) that applies(y).
d3a.5~98~D3a What is your nationality? Please tell me the country(ies) that applies(y).
d3a.6~99~D3a What is your nationality? Please tell me the country(ies) that applies(y).
d3a.7~100~D3a What is your nationality? Please tell me the country(ies) that applies(y).
d3a.8~101~D3a What is your nationality? Please tell me the country(ies) that applies(y).
d3a.9~102~D3a What is your nationality? Please tell me the country(ies) that applies(y).
d3a.10~103~D3a What is your nationality? Please tell me the country(ies) that applies(y).
d3a.11~104~D3a What is your nationality? Please tell me the country(ies) that applies(y).
d3a.12~105~D3a What is your nationality? Please tell me the country(ies) that applies(y).
d3a.13~106~D3a What is your nationality? Please tell me the country(ies) that applies(y).
d3a.14~107~D3a What is your nationality? Please tell me the country(ies) that applies(y).
d3a.15~108~D3a What is your nationality? Please tell me the country(ies) that applies(y).
d3a.16~109~D3a What is your nationality? Please tell me the country(ies) that applies(y).
d3a.17~110~D3a What is your nationality? Please tell me the country(ies) that applies(y).
d3a.18~111~D3a What is your nationality? Please tell me the country(ies) that applies(y).
d3a.19~112~D3a What is your nationality? Please tell me the country(ies) that applies(y).
d3a.20~113~D3a What is your nationality? Please tell me the country(ies) that applies(y).
d3a.21~114~D3a What is your nationality? Please tell me the country(ies) that applies(y).
d3a.22~115~D3a What is your nationality? Please tell me the country(ies) that applies(y).
d3a.23~116~D3a What is your nationality? Please tell me the country(ies) that applies(y).
d3a.24~117~D3a What is your nationality? Please tell me the country(ies) that applies(y).
d3a.25~118~D3a What is your nationality? Please tell me the country(ies) that applies(y).
d3a.26~119~D3a What is your nationality? Please tell me the country(ies) that applies(y).
d3a.27~120~D3a What is your nationality? Please tell me the country(ies) that applies(y).
d3a.28~121~D3a What is your nationality? Please tell me the country(ies) that applies(y).
d3a.29~122~D3a What is your nationality? Please tell me the country(ies) that applies(y).
d3a.30~123~D3a What is your nationality? Please tell me the country(ies) that applies(y).
d3a.31~124~D3a What is your nationality? Please tell me the country(ies) that applies(y).
d3a.32~125~D3a What is your nationality? Please tell me the country(ies) that applies(y).
d3a.33~126~D3a What is your nationality? Please tell me the country(ies) that applies(y).
d3a.34~127~D3a What is your nationality? Please tell me the country(ies) that applies(y).
d3a.35~128~D3a What is your nationality? Please tell me the country(ies) that applies(y).
d3a.36~129~D3a What is your nationality? Please tell me the country(ies) that applies(y).
d3a.37~130~D3a What is your nationality? Please tell me the country(ies) that applies(y).
d3a.38~131~D3a What is your nationality? Please tell me the country(ies) that applies(y).
d3a.39~132~D3a What is your nationality? Please tell me the country(ies) that applies(y).
d3a.40~133~D3a What is your nationality? Please tell me the country(ies) that applies(y).
d3a.41~134~D3a What is your nationality? Please tell me the country(ies) that applies(y).
d3a.42~135~D3a What is your nationality? Please tell me the country(ies) that applies(y).
d3a.43~136~D3a What is your nationality? Please tell me the country(ies) that applies(y).
d3a.44~137~D3a What is your nationality? Please tell me the country(ies) that applies(y).
d3a.45~138~D3a What is your nationality? Please tell me the country(ies) that applies(y).
d3a.46~139~D3a What is your nationality? Please tell me the country(ies) that applies(y).
d3a.47~140~D3a What is your nationality? Please tell me the country(ies) that applies(y).
d3a.48~141~D3a What is your nationality? Please tell me the country(ies) that applies(y).
d3a.49~142~D3a What is your nationality? Please tell me the country(ies) that applies(y).
d3a.50~143~D3a What is your nationality? Please tell me the country(ies) that applies(y).
d3a.51~144~D3a What is your nationality? Please tell me the country(ies) that applies(y).
d3a.52~145~D3a What is your nationality? Please tell me the country(ies) that applies(y).
d3a.53~146~D3a What is your nationality? Please tell me the country(ies) that applies(y).
d3a.54~147~D3a What is your nationality? Please tell me the country(ies) that applies(y).
d3a.55~148~D3a What is your nationality? Please tell me the country(ies) that applies(y).
d3a.56~149~D3a What is your nationality? Please tell me the country(ies) that applies(y).
d3a.57~150~D3a What is your nationality? Please tell me the country(ies) that applies(y).
d3a.58~151~D3a What is your nationality? Please tell me the country(ies) that applies(y).
d3a.59~152~D3a What is your nationality? Please tell me the country(ies) that applies(y).
d3a.60~153~D3a What is your nationality? Please tell me the country(ies) that applies(y).
