segment_name,Segment_N,PEI_mean,PEI_median,PEI_std,consumer_freq_score_mean,provider_freq_score_mean,consumer_sector_breadth_mean,provider_sector_breadth_mean,is_prosumer_mean,adv_economic_score_mean,adv_functional_score_mean,adv_social_score_mean,prov_mot_sustainability_mean,recommend_high_mean,age_mean,gender_male_mean,higher_education_mean,Segment_Share_%
Convenience-Driven Urbanites,2496,26.426448985042732,22.916666666666664,13.364196349148168,1.7644230769230769,0.19671474358974358,1.560496794871795,0.11378205128205128,0.12179487179487179,0.43469551282051283,0.9995993589743589,0.0,0.0,0.3942307692307692,44.51161858974359,0.46794871794871795,0.6434294871794872,42.50681198910082
Entrepreneurial Micro-Providers,1248,20.379273504273502,18.75,11.626441115791222,1.21875,0.5296474358974359,0.8910256410256411,0.30128205128205127,0.1233974358974359,0.36378205128205127,0.0,0.18269230769230768,0.05689102564102564,0.25,46.91185897435897,0.5136217948717948,0.5777243589743589,21.25340599455041
Occasional Frugal Consumers,1587,25.312434362528876,22.916666666666664,12.647380110893092,1.7511027095148077,0.15122873345935728,1.692501575299307,0.1033396345305608,0.10396975425330812,0.7309388783868935,0.9766855702583491,1.0,0.0,0.3686200378071834,42.39508506616257,0.47763074984247006,0.6156269691241336,27.026566757493185
Sustainability & Community Co-Creators,541,47.3505853357979,45.83333333333333,16.52793760166605,2.086876155268022,1.9630314232902033,2.0129390018484288,1.609981515711645,0.9722735674676525,0.6987060998151571,0.8964879852125693,0.6987060998151571,0.8687615526802218,0.43253234750462105,41.00369685767098,0.5582255083179297,0.6950092421441775,9.213215258855586
