,PEI,PEI_provider_weighted,PEI_no_substitution,PEI_unique_breadth,CII,PII
PEI,1.0,0.9267492921014395,0.8197383406132734,0.9909000118933322,0.7966766111131811,0.5287035114463468
PEI_provider_weighted,0.9267492921014395,1.0,0.9191075513106334,0.90670965315056,0.5876024190674363,0.7982946237942036
PEI_no_substitution,0.8197383406132734,0.9191075513106334,1.0,0.8123413176908101,0.6508289227896714,0.7191022277933462
PEI_unique_breadth,0.9909000118933322,0.90670965315056,0.8123413176908101,1.0,0.825260698254121,0.4879069905912587
CII,0.7966766111131811,0.5876024190674363,0.6508289227896714,0.825260698254121,1.0,0.0058571476352203685
PII,0.5287035114463468,0.7982946237942036,0.7191022277933462,0.4879069905912587,0.0058571476352203685,1.0
