Sample,Mean PEI,Std Dev,Median,IQR,Skewness
"Full Population (N=26,544)",5.921535940325497,13.129842446880971,0.0,0.0,2.505798265361216
"Active Platform Users (N=5,872)",26.767924046321525,14.875625622620383,22.916666666666664,20.833333333333332,1.0553104154767934
"Dual Prosumers (N=1,149)",43.0900058021468,15.807548353238037,39.58333333333333,22.916666666666664,0.5602559892720502
