Predictor,Coefficient,Std Error,z-statistic,p-value,Odds Ratio,CI Lower (95%),CI Upper (95%)
Intercept,-2.280097127013983,0.189305770752284,-12.044519921147058,2.0727963903647055e-33,0.10227427263840301,0.07057144911445491,0.1482189607124264
age_imputed,-0.002995732063037273,0.0023373370516059622,-1.2816859515314378,0.1999528350286448,0.9970087506647917,0.9924518033027745,1.001586621732314
gender_male,0.18850682800994129,0.06827937097718824,2.760816705135148,0.005765702538148933,1.2074453274071677,1.0562043924459308,1.3803428854344935
higher_education,0.2456724213532648,0.07375179999051291,3.331070175709162,0.0008651278989158991,1.2784807019605657,1.1064111173936801,1.4773106303703138
urbanization_score,-0.09358501358018285,0.04328540627266285,-2.1620454014148187,0.030614676829731083,0.9106605956177284,0.8365885964193064,0.991290969014334
consumer_freq_score,0.5103594792105619,0.04627682268922695,11.02840362740313,2.7876932113160466e-28,1.665889940121775,1.5214420061899594,1.824051972607647
consumer_sector_breadth,-0.03205494861878489,0.03595424130207913,-0.8915484643234912,0.37263500371461433,0.968453365442332,0.9025565182264096,1.0391614287819069
adv_cheaper,-0.18797671977972868,0.07388620938996032,-2.54413809196268,0.010954776652104434,0.8286339977901284,0.7169199938922032,0.957755827907477
adv_wider,0.10987316420789701,0.07444068207379687,1.4759827710736733,0.1399485174475738,1.1161364954241781,0.9646133884572483,1.2914611090046866
adv_convenient,-0.1123114589564046,0.08007179688611447,-1.4026344271522264,0.16072588018417244,0.8937658427685683,0.7639527807470164,1.0456371150566413
adv_ratings,-0.04277361956975949,0.07718711330401447,-0.5541549325894385,0.5794728183036943,0.9581282670070677,0.8236104779983102,1.114616436484736
adv_social,0.36332683970743807,0.08017415107278512,4.531720446626198,5.850524041149216e-06,1.438105812520359,1.2289847119862218,1.6828104595885551
adv_exchange,0.5210474077814194,0.08206619705817118,6.349111162200975,2.1656250963810772e-10,1.6837903415151572,1.4336169939387935,1.9776201915619682
